"Distrito","Satisfaccion","Calidad","Tamaño","Ubicacion","Sexo","Edad","Año"
4,"8","9","9","10",2,72,2023
4,"9","9","9","10",2,43,2023
4,"8","8","8","10",2,67,2023
4,"8","9","9","8",1,32,2023
4,"7","8","8","8",2,68,2023
4,"8","8","8","10",1,60,2023
4,"8","8","7","9",2,26,2023
4,"6","7","8","10",1,64,2023
4,"8","8","8","10",1,45,2023
4,"10","9","9","10",1,64,2023
4,"9","9","9","10",1,57,2023
4,"10","9","10","10",2,44,2023
4,"10","10","9","10",2,75,2023
4,"10","10","10","10",1,67,2023
4,"10","10","10","10",1,69,2023
4,"10","9","10","10",1,20,2023
4,"8","8","7","8",2,62,2023
4,"10","10","10","10",2,64,2023
4,"8","8","8","8",1,31,2023
4,"8","8","8","9",2,50,2023
4,"9","9","9","9",2,73,2023
4,"8","8","8","9",1,60,2023
4,"10","10","10","7",1,65,2023
4,"10","7","10","10",2,23,2023
4,"10","9","8","9",1,70,2023
4,"9","9","10","10",1,66,2023
4,"9","8","8","9",1,61,2023
4,"10","10","10","10",1,60,2023
4,"10","10","9","10",1,66,2023
5,"7","8","8","10",1,34,2023
5,"10","10","10","10",2,45,2023
5,"10","9","5","10",2,64,2023
5,"10","9","9","8",2,69,2023
5,"10","9","9","10",1,37,2023
5,"10","10","10","10",1,40,2023
5,"8","9","8","8",1,61,2023
5,"10","10","10","10",1,35,2023
5,"7","8","6","10",2,26,2023
5,"10","10","10","10",2,60,2023
5,"8","8","7","10",1,41,2023
5,"10","8","8","10",2,50,2023
5,"10","8","10","7",1,70,2023
5,"10","10","8","8",2,34,2023
5,"10","10","10","10",1,53,2023
5,"8","8","9","10",1,31,2023
5,"10","10","10","10",2,55,2023
5,"7","10","5","5",2,42,2023
5,"8","7","9","10",1,82,2023
5,"10","10","9","10",1,56,2023
5,"9","9","9","9",1,57,2023
5,"10","10","10","10",1,41,2023
5,"8","8","9","10",2,20,2023
5,"7","7","7","9",2,23,2023
5,"10","8","10","10",1,63,2023
5,"8","8","1","8",2,33,2023
5,"10","10","10","10",2,50,2023
5,"6","5","6","7",2,26,2023
5,"8","7","8","7",2,64,2023
5,"7","7","8","3",2,24,2023
5,"10","7","9","7",1,18,2023
5,"9","7","9","9",1,63,2023
5,"9","9","8","9",1,21,2023
5,"6","7","5","9",1,30,2023
5,"8","9","9","9",2,61,2023
5,"10","10","10","10",2,35,2023
5,"9","9","9","10",1,32,2023
5,"8","8","9","10",2,55,2023
5,"10","8","4","7",1,37,2023
5,"10","10","10","10",1,52,2023
5,"8","8","9","8",2,25,2023
5,"8","8","6","6",1,79,2023
5,"7","7","9","9",1,56,2023
5,"10","9","9","10",2,23,2023
5,"9","8","7","9",1,25,2023
5,"8","9","9","7",1,67,2023
5,"5","3","3","1",1,59,2023
5,"10","8","9","9",1,30,2023
5,"8","8","8","8",1,57,2023
5,"7","8","8","9",1,68,2023
5,"10","10","9","9",2,27,2023
5,"10","10","9","10",1,25,2023
5,"7","8","5","9",2,56,2023
5,"10","9","9","9",1,35,2023
5,"9","8","8","9",1,55,2023
5,"10","10","10","10",1,59,2023
5,"7","6","7","8",1,63,2023
5,"10","10","9","10",2,70,2023
5,"10","10","8","10",1,58,2023
5,"10","3","7","10",2,44,2023
5,"8","8","8","10",1,33,2023
5,"8","8","8","9",2,63,2023
5,"5","7","6","10",2,51,2023
5,"10","10","8","10",1,41,2023
5,"8","8","6","8",2,31,2023
5,"10","10","10","6",1,80,2023
5,"10","8","10","10",1,68,2023
5,"10","10","8","9",2,41,2023
5,"10","10","10","8",1,54,2023
5,"7","8","7","5",2,32,2023
5,"8","7","9","5",2,43,2023
5,"10","8","10","9",1,65,2023
5,"10","8","8","10",2,63,2023
5,"8","8","8","10",2,34,2023
5,"8","8","9","9",1,76,2023
5,"8","9","9","10",1,49,2023
5,"7","9","8","10",1,47,2023
5,"9","9","9","10",2,28,2023
5,"10","8","7","9",1,50,2023
5,"10","9","9","10",1,67,2023
5,"10","9","9","10",1,31,2023
5,"10","9","10","10",2,29,2023
5,"7","7","7","8",1,58,2023
5,"10","10","10","8",1,41,2023
5,"10","10","6","9",1,35,2023
5,"9","9","9","5",2,42,2023
5,"7","7","7","8",1,22,2023
5,"8","9","7","8",1,56,2023
5,"9","8","7","9",1,33,2023
5,"8","7","8","8",2,45,2023
5,"10","9","9","10",2,35,2023
5,"10","8","8","9",1,73,2023
5,"7","9","9","8",2,47,2023
5,"10","10","10","10",2,54,2023
5,"10","7","9","10",1,61,2023
5,"8","8","8","8",1,44,2023
5,"9","9","6","9",1,48,2023
5,"8","8","8","8",1,49,2023
5,"8","8","7","9",1,53,2023
5,"10","10","10","10",2,77,2023
5,"10","10","10","10",1,52,2023
5,"8","6","8","7",2,68,2023
5,"8","8","8","8",1,36,2023
5,"2","6","5","5",2,40,2023
5,"9","7","8","7",2,43,2023
5,"10","10","10","10",1,58,2023
5,"8","8","7","7",1,56,2023
5,"7","10","8","10",1,31,2023
5,"9","9","7","7",1,61,2023
5,"6","7","8","8",2,24,2023
5,"7","8","6","9",2,28,2023
5,"6","7","5","10",1,25,2023
5,"8","8","8","9",1,50,2023
5,"8","10","8","10",1,35,2023
5,"8","8","10","10",1,67,2023
5,"9","8","8","8",2,47,2023
5,"10","7","7","10",1,50,2023
5,"9","9","10","10",1,65,2023
5,"8","8","8","8",1,68,2023
5,"10","7","7","7",2,51,2023
5,"8","8","8","9",1,46,2023
